BoxOfficeMojo,IMDB,OriginalOrder,FilmName,Classic,ImDb_A,Boxofficemojo_A,Year,InflatedBudget,TotalGross,InflatedGross,V15,Check_enj_label,Proportion_male,Appr_alphas,Enj_alphas,Enjoyment,Enjoyment_SD,ViewerCount_enj,Check_appr_label,Appreciation,Appr_SD,ViewerCount_appr,Crime,Drama,Western,Action,Biography,History,Adventure,Fantasy,Mystery,SciFi,Romance,Thriller,War,Family,Animation,Comedy,MovieImdbID,UserRank,SubDownloadsCnt,TotalWords,HarmVirtue,HarmVirtueratio,HarmVice,HarmViceratio,FairnessVirtue,FairnessVirtueratio,FairnessVice,FairnessViceratio,IngroupVirtue,IngroupVirtueratio,IngroupVice,IngroupViceratio,AuthorityVirtue,AuthorityVirtueratio,AuthorityVice,AuthorityViceratio,PurityVirtue,PurityVirtueratio,PurityVice,PurityViceratio,MoralityGeneral,MoralityGeneralratio
0,1,22,OnceUponaTime_Classic,0.36,1,0,1968,"$33,037,835.79","$5,321,508.00","$35,162,221.49",Uponatimewest,Uponatimewest_enj,0.45,0.958,0.946,4.49,0.99,23,Uponatimewest_appr,4.2878787878787900,0.9331941763916920,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64116,gold member,706,17154,4,0.000233,58,0.003381,5,0.000291,0,0.00000,24,0.001399,6,0.000350,33,0.001924,2,0.000117,4,0.000233,8,0.000466,61,0.003556
0,1,23,SilenceLambs_Classic,0.84,1,0,1991,"$32,018,825.14","$272,742,922.00","$459,626,733.00",SilenceofLambs,SilenceofLambs_enj,0.36,0.872,0.801,4.97,1.47,86,SilenceofLambs_appr,5.2441860465116300,1.4247342773506700,86,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,102926,silver member,5528,7773,13,0.001672,23,0.002959,6,0.000772,0,0.00000,4,0.000515,1,0.000129,14,0.001801,0,0.000000,5,0.000643,3,0.000386,41,0.005275
0,1,24,Se7en_Classic,0.58,1,0,1995,"$49,844,822.72","$327,311,859.00","$494,387,926.85",Se7en,Se7en_enj,0.34,0.872,0.798,4.96,1.26,58,Se7en_appr,5.2701149425287400,1.3193076578676000,58,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114369,bronze member,6176,8607,11,0.001278,24,0.002788,3,0.000349,0,0.00000,1,0.000116,1,0.000116,13,0.001510,2,0.000232,8,0.000929,21,0.002440,31,0.003602
0,1,25,Casablanca_Classic,0.90,1,0,1942,"$13,399,818.51","$2,875,243.00","$40,555,509.88",Casablanca,Casablanca_enj,0.33,0.943,0.938,5.26,1.25,63,Casablanca_appr,5.2812500000000000,1.2671660808841100,64,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34583,bronze member,12793,11847,13,0.001097,15,0.001266,7,0.000591,0,0.00000,6,0.000506,6,0.000506,29,0.002448,2,0.000169,3,0.000253,3,0.000253,76,0.006415
0,1,26,UsualSuspects_Classic,0.43,1,0,1995,"$9,062,695.04","$23,341,568.00","$35,256,252.09",UsualSuspects,UsualSuspects_enj,0.43,0.784,0.975,4.96,1.35,32,UsualSuspects_appr,4.4343434343434300,0.9627970266250940,33,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114814,,10482,9395,18,0.001916,30,0.003193,4,0.000426,0,0.00000,10,0.001064,1,0.000106,8,0.000852,1,0.000106,5,0.000532,2,0.000213,36,0.003832
0,1,27,RaidersoftheLostArk_Classic,0.68,1,0,1981,"$45,438,800.24","$389,925,971.00","$984,320,461.38",LostArk,LostArk_enj,0.48,0.914,0.973,5.69,1.10,69,LostArk_appr,4.1739130434782600,1.3205374916439000,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,82971,,1065,5330,6,0.001126,11,0.002064,3,0.000563,0,0.00000,6,0.001126,1,0.000188,7,0.001313,3,0.000563,6,0.001126,0,0.000000,34,0.006379
1,0,28,Avatar_Classic,0.45,0,1,2009,"$256,772,915.96","$2,782,275,172.00","$3,014,400,459.60",Avatar,Avatar_enj,0.30,0.933,0.961,5.86,1.23,189,Avatar_appr,5.2459893048128400,1.5581443693161800,187,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,499549,,586,345,1,0.002899,5,0.014493,1,0.002899,0,0.00000,0,0.000000,0,0.000000,7,0.020290,0,0.000000,0,0.000000,0,0.000000,2,0.005797
1,0,29,Titanic_Classic,0.95,0,1,1997,"$288,388,497.17","$2,186,772,302.00","$3,153,199,889.13",Titanic,Titanic_enj,0.26,0.808,0.847,5.64,1.14,225,Titanic_appr,5.8303571428571400,1.0793117588878100,224,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115392,gold member,2601,8755,11,0.001256,6,0.000685,4,0.000457,0,0.00000,13,0.001485,3,0.000343,26,0.002970,1,0.000114,6,0.000685,7,0.000800,45,0.005140
1,0,30,TheAvengers_Classic,0.36,0,1,2012,"$223,300,000.00","$1,518,594,910.00","$1,541,373,833.65",Avengers,Avengers_enj,0.38,0.933,0.960,6.06,1.07,143,Avengers_appr,4.0000000000000000,1.5719569056758600,143,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,848228,,1637,9509,32,0.003365,43,0.004522,2,0.000210,0,0.00000,13,0.001367,8,0.000841,24,0.002524,1,0.000105,5,0.000526,3,0.000315,23,0.002419
1,0,31,HPDeathlyHallows2_Classic,0.52,0,1,2011,"$129,539,375.00","$1,341,511,219.00","$1,390,228,198.92",DeathlyHallows2,DeathlyHallows2_enj,0.25,0.932,0.901,6.08,0.96,147,DeathlyHallows2_appr,5.3716216216216200,1.4879326380492200,148,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1201607,silver member,28896,4931,13,0.002636,31,0.006287,1,0.000203,0,0.00000,6,0.001217,1,0.000203,13,0.002636,0,0.000000,1,0.000203,2,0.000406,18,0.003650
1,0,32,IronMan3_Classic,0.17,0,1,2013,"$200,000,000.00","$1,215,439,994.00","$1,215,439,994.00",IronMan3,IronMan3_enj,0.38,0.920,0.965,5.88,1.03,117,IronMan3_appr,3.8548850574712600,1.6507252354945200,116,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1300854,,2412,10432,23,0.002205,33,0.003163,4,0.000383,1,0.00010,14,0.001342,5,0.000479,6,0.000575,0,0.000000,7,0.000671,2,0.000192,57,0.005464
1,0,33,Transformers3_Classic,0.20,0,1,2011,"$202,081,425.00","$1,123,794,079.00","$1,164,604,660.98",TransformersDarkMoon,TransformersDarkMoon_enj,0.43,0.935,0.971,5.45,1.41,102,TransformersDarkMoon_appr,3.5098039215686300,1.7040080121604600,102,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1399103,trusted,2302,12453,32,0.002570,48,0.003854,1,0.000080,0,0.00000,17,0.001365,9,0.000723,40,0.003212,7,0.000562,3,0.000241,5,0.000402,58,0.004658
1,0,34,Skyfall_Classic,0.27,0,1,2012,"$203,000,000.00","$1,108,561,013.00","$1,125,189,428.19",Skyfall,Skyfall_enj,0.38,0.898,0.919,5.79,1.00,115,Skyfall_appr,4.2695652173913000,1.4299059063182500,115,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1074638,trusted,1120,9827,3,0.000305,24,0.002442,11,0.001119,0,0.00000,7,0.000712,7,0.000712,18,0.001832,2,0.000204,4,0.000407,0,0.000000,36,0.003663
1,0,35,DarkKnightRises_Classic,0.48,0,1,2012,"$253,750,000.00","$1,084,439,099.00","$1,100,705,685.48",DarkKnightRises,DarkKnightRises_enj,0.32,0.931,0.862,5.99,1.00,168,DarkKnightRises_appr,5.1795634920634900,1.5964236710623200,168,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,468569,trusted,5524,12833,36,0.002805,48,0.003740,12,0.000935,0,0.00000,22,0.001714,4,0.000312,31,0.002416,3,0.000234,7,0.000545,3,0.000234,48,0.003740
1,0,36,PCAÊDeadMansChest_Classic,0.20,0,1,2006,"$259,079,584.42","$1,066,179,725.00","$1,227,668,444.77",DeadMansChest,DeadMansChest_enj,0.30,0.928,0.974,5.79,1.11,136,DeadMansChest_appr,3.8284671532846700,1.5264473478156300,137,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,383574,trusted,3910,8213,13,0.001583,18,0.002192,12,0.001461,0,0.00000,3,0.000365,5,0.000609,31,0.003775,0,0.000000,6,0.000731,11,0.001339,44,0.005357
